[SERVER] Radi na http://localhost:8080
[INFO] 2026-06-12T18:20:51.557Z | filteri: grayscale | vreme: 47ms
[INFO] 2026-06-12T18:20:51.558Z | filteri: grayscale | vreme: 48ms
[INFO] 2026-06-12T18:20:51.552Z | filteri: grayscale | vreme: 55ms
[INFO] 2026-06-12T18:20:51.555Z | filteri: grayscale | vreme: 54ms
[INFO] 2026-06-12T18:20:51.558Z | filteri: grayscale | vreme: 52ms
[INFO] 2026-06-12T18:20:51.557Z | filteri: grayscale | vreme: 55ms
[INFO] 2026-06-12T18:20:51.560Z | filteri: grayscale | vreme: 54ms
[ERROR] 2026-06-12T18:20:51.615Z | Image data size mismatch: ocekivano 100, dobijeno 99
[ERROR] 2026-06-12T18:20:51.616Z | Image data size mismatch: ocekivano 400, dobijeno 100
[INFO] 2026-06-12T18:30:38.271Z | filteri: colorizegrayscale | vreme: 675ms
[INFO] 2026-06-12T18:30:38.271Z | Session cache saved: SID-8CT5MF7ZU
[INFO] 2026-06-12T18:30:39.481Z | filteri: colorizegrayscale | vreme: 656ms
[INFO] 2026-06-12T18:30:39.481Z | Session cache saved: SID-8CT5MF7ZU
[INFO] 2026-06-12T18:30:39.789Z | filteri: colorizegrayscale | vreme: 666ms
[INFO] 2026-06-12T18:30:39.789Z | Session cache saved: SID-8CT5MF7ZU
[INFO] 2026-06-12T18:30:40.662Z | filteri: colorizegrayscale | vreme: 520ms
[INFO] 2026-06-12T18:30:40.662Z | Session cache saved: SID-8CT5MF7ZU
[INFO] 2026-06-12T18:30:40.880Z | filteri: colorizegrayscale | vreme: 533ms
[INFO] 2026-06-12T18:30:40.880Z | Session cache saved: SID-8CT5MF7ZU
[INFO] 2026-06-12T18:30:41.631Z | filteri: colorizegrayscale | vreme: 446ms
[INFO] 2026-06-12T18:30:41.631Z | Session cache saved: SID-8CT5MF7ZU
[INFO] 2026-06-12T18:30:41.831Z | filteri: colorizegrayscale | vreme: 485ms
[INFO] 2026-06-12T18:30:41.831Z | Session cache saved: SID-8CT5MF7ZU
[INFO] 2026-06-12T18:30:42.560Z | filteri: colorizegrayscale | vreme: 525ms
[INFO] 2026-06-12T18:30:42.560Z | Session cache saved: SID-8CT5MF7ZU
[INFO] 2026-06-12T18:30:42.802Z | filteri: colorizegrayscale | vreme: 447ms
[INFO] 2026-06-12T18:30:42.802Z | Session cache saved: SID-8CT5MF7ZU
[INFO] 2026-06-12T18:30:43.471Z | filteri: colorizegrayscale | vreme: 499ms
